c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
	20230126		NM  	2023	1	26	2023F00031       	1	20230116	G	2697		CONNECTOR       			GULSTM	200   	200         	4500308	NM  										OVERHEAT DETECT	CORRODED        	E				A				UNSCHED LANDING         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	99	573PT	10031				127				EMERGENCY BATTERY OVERHEAT INDICATION IN FLIGHT.									2 	4F			RT	A53NM   					 
	20230126		NM  	2023	1	26	2023F00032       	1	20230114	G	2913		PUMP            			BOEING	737   	7377Q8      	1384418	NM  										HYD SYSTEM	OVERHEATED      	H				C				ABORTED TAKEOFF         				M	J		OVER TEMP                 	WARNING INDICATION        		TO	TAKEOFF        	1			SW	99						28219				ABORTED TEAKEOFF. DURING TAKEOFF BEFORE 80 KTS WE HAD THE MESSAGE HYD OVERHEAT. CORRECTIVE ACTION: REPLACED HYD EMDP. TE	ST NORMAL.								2 	4F			RT	A16WE   					 
	20230126		NM  	2023	1	26	2023F00033       	1	20230115	G	3411	S232N9116	PITOT TUBE      			BOEING	737   	7378Q8      	13844BX	NM  											FAILED          	H				C				ABORTED TAKEOFF         				J			WARNING INDICATION        			TO	TAKEOFF        	1			SW	99						30661				ABORTED TAKEOFF DUE TO AIRSPEED DISPLAY SHOW IAS DISAGREE EN PIC AND FO PFD. CORRECTIVE ACTION: REPLACED PITOT PROBE.									2 	4F			RT	A16WE   					 
	20230206		NM  	2023	2	6	2023F00034       	1	20230124	G	3231	283663	VALVE           			BOEING	787   	7878        	05628NI	NM  										NLG DOOR	FAULTED         	D				A				UNSCHED LANDING         				S			AFFECT SYSTEMS            			CL	CLIMB          	1			SW	99	872AN									GEAR DOOR MSG ON T/O. NOSE GEAR DOOR NOT CLOSED AFTER GEAR RETRACTION. AIR INTERRUPT. A/C CAME BACK IN SAFE CONDITION.									2 	4F			RT	T00021SE					 
	20230208			2023	2	8	2023F00035       	4	20230125	G	3416	6223975007	ALTIMETER       			BEECH 	200   	B200        	1152922	CE  											FAULTED         	E				A				UNSCHED LANDING         				P			NO WARNING INDICATION     			CR	CRUISE         	1			NM	19	912SV					BB1299				APPROXIMATELY 45 MINUTES AFTER DEPARTING KBIL WHILE IN CRUISE FLIGHT, THE CREW OBSERVED THE PILOTS ALTIMETER CLIMBING RA	PIDLY WITHOUT STOPPING. THE CREW RETURNED TO KBIL WITHOUT INCIDENT. MAINTENANCE REPLACED THE PILOTS ALTIMETER WITH AN OV	ERHAULED UNIT AND OPS CHECK GOOD.							2 	4T				A24CE   					 
	20230208		CE  	2023	2	8	2023F00036       	1	20230129	G	5711		SPAR            			CESSNA	560   	560XL       	2076702	CE  										LT WING	CORRODED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	07	644QS	14779				560XL5582				TOP LH AND RH UPPER WING SPAR CORROSION.									2 	4F			RT	A22CE   					 
	20230208		CE  	2023	2	8	2023F00037       	1	20230129	G	5711		SPAR            			CESSNA	560   	560XL       	2076702	CE  										RT WING	CORRODED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	07	644QS	14779				560XL5582				TOP LH AND RH UPPER WING SPAR CORROSION.									2 	4F			RT	A22CE   					 
	20230210		CE  	2023	2	10	2023F00039       	1	20230201	G	5200	74113512	NONE            			CESSNA	680   	680A        	2076813	CE  										ZONE 800	CORRODED        	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	07	526QS	5598 				680A0068				CORROSION, FUSELAGE, CABIN ENTRY DOOR THRESHOLD UNDER SEAL, FS TO FS213 ENGINEERING REPAIR NO FR-680A-0068-1141 REV -									2 	4F			RC	T00012WI					 
	20230210		CE  	2023	2	10	2023F00040       	1	20230201	G	3060	B40531	NONE            		3GFR34703B  	CESSNA	208   	208B        	2073701	CE  	PWA   	PT6   	PT6A114A    	52043	NE  	MCAULY	3AF34C	3GFR34C703  	GL  	PROP ZONE 110	WORN            	E				D				RETURN TO BLOCK         				L			NO TEST                   			TX	TAXI/GRND HDL  	1			CE	03	208EE	1408 	108  		10257	208B1213	PCEPC2182	110257		CREW REPORTED PROPELLER HEAT INOP-SHOWS 8-9 AMPS IN BOTH AUTO AND MANUAL. MODES. CORRECTIVE ACTION: REMOVED PROPELLER AN	TI-ICE LEADS. INSTALLED THREE NEW PROPELLER DE-ICE LEADS. PROPELLER ANTI-ICE SYSTEMS CHECK GOOD ON ENGINE GROUND RUN. SU	BSEQUENT FLIGHT WAS UNEVENTFUL, WITH NO ISSUES							1 	3T	3	T		A37CE   	E4EA	5	C	P60GL	 
	20230210		GL  	2023	2	10	2023F00041       	1	20230201	G	5100	NOTENTERED	NOT ENTERED     			CIRRUS	SF50  	SF50        	0563277	GL  	WILINT	FJ33  	FJ335A      	66015	NE  						NOT ENTERED     	E				A				UNSCHED LANDING         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	99	23VJ 					0241	361143			MULTIPLE CAS MESSAGE APPEARED SUDDENTLY WHILE CRUISING AT FL 310 EG: IPS ENGINE INLET OFF, STICK PUSHER FAIL, EMERGENCY 	BATT FAIL, PITCH MET ACTIVE, CABIN PRESSRE CTRL FAIL, IPS WING/STAB FAIL, SPD NO  CONMPARE, STALL SPEED HIGH, FUEL VALVE	S BOTH FAIL, FADEC NO DISPATCH, EMER BUS.							1 	4F	4	F	RT	A00018CH	E3GL				 
	20230210		NM  	2023	2	10	2023F00042       	1	20230130	G	3244	431385	BOLT            	BFGOODRICH  		BOEING	737   	73733A      	1384673	NM  										NOT ENTERED	SHEARED         	H				O				OTHER                   				S			AFFECT SYSTEMS            			IN	INSP/MAINT     	1			SW	99					87506763	27458				IN WALK AROUND WE FOUND TIEBOLT BROKEN ON TIRE #3. CORRECTIVE ACTION MLG TIRE #3 REPLACED IAW AMM 32-45-11/401									2 	4F			RT	A16WE   					 
	20230213		CE  	2023	2	13	2023F00043       	1	20230126	G	7100	658603A6BP	CYLINDER        	CONT        	GTSIO520L   	CESSNA	421   	421C        	2076016	CE  	CONT  	O520  	GTSIO520L   	17032	SO  					R/E #4 CYLINDER	SEIZED          	B				E	B	A		ENGINE SHUTDOWN         	EMER. DESCENT           	UNSCHED LANDING         		R	O		PARTIAL RPM/PWR LOSS      	OTHER                     		CR	CRUISE         	1			NM	05	421J 	978  			245889R	421C0033	245889R			WHILE IN CRUISE FLIGHT AT 19,000 FT, PILOT NOTICED THE RIGHT ENGINE SURGING. HE SUSPECTED IT WAS A FAILED FUEL PUMP AND 	WHILE ATTEMPTING TO REMEDY THE SITUATION, HE THEN NOTICED MAP DROPPING AND A COMPLETE LOSS OF OIL PRESSURE. THAT IS WHEN	 HE DECIDED TO SHUT DOWN THE RIGHT ENGINE AND MAKE AN UNSCHEDULED, EMERGENCY LANDING IN POCATELLO, ID. THE ISSUE WITH TH	E ENGINE STARTED ABOUT 1 HOUR AND TEN MINUTES AFTER TAKEOFF FROM HELENA, MT. THE PLANE TOOK OFF AT 4:18PM ON 1-26-23 AND	 LANDED AT 5:55PM FOR A TOTAL OF 1 HOUR AND 37 MINUTES OF FLIGHT TIME. UPON INSPECTION OF THE SEIZED-UP RIGHT ENGINE, I 	FOUND THE #4 CYLINDER PISTON HAD COMPLETELY BLOWN OUT AND YOU COULD SEE THE CRANKSHAFT THROUGH THE SPARK PLUG HOLE. THE 				2 	3O	3	O		A7CE    	E7CE				 
	20230213		NE  	2023	2	13	2023F00044       	1	20230203	G	2120	1505151	BLOWER          			SKRSKY	S92   	S92A        		NE  										COCKPIT	FUMES           	E				K				NONE                    				B			SMOKE/FUMES/ODORS/SPARKS  			DE	DESCENT        	1			SW	03	937PH					920201				ENCOUNTERED FUMES IN THE COCKPIT DURING APPROACH TO KHUM.									2 	4U				R00024BO					 
	20230213		NM  	2023	2	13	2023F00045       	1	20230130	G	2900	7001267M07	MODULE          			BOEING	787   	7878        	05628NI	NM  										ZONE 100	UNSERVICEABLE   	W				O				OTHER                   				F			FLT CONT AFFECTED         			IN	INSP/MAINT     	1			SW	99	967AM	35143	35143			35312				MAINTENACE MSG OF FLIGHT CONTROL SYS (RUDDER, AILERON, ELEVATOR FLAP) AND HYD PRESS									2 	4F			RT	T00021SE					 
	20230213		CE  	2023	2	13	2023F00046       	1	20230130	G	3244	178K431	TIRE            	MEGGITT     		LEAR  	60    	60LEAR      	5170707	CE  										ZONE 700	DAMAGED         	E				O				OTHER                   				G			MULTIPLE FAILURE          			LD	LANDING        	1			NM	03	618L 	102  	102  		MAR123314	0267				AIRPLANE DEPARTED OPA LOCKA, FL (KOPF) UNEVENTFUL FLIGHT UNTIL LANDING AT MILWAUKEE, WI (KMKE). UPON LANDING AT KMKE, BO	TH LEFT MAIN TIRES BLEW OUT. AS THE CREW TURNED THE AIRCRAFT ONTO THE TAXXIWAY, THEY NOTICED "MUSHY" HANDLING. THE AIRPL	ANE WAS STOPPED AND SUBSEQUENTLY REMOVED FROM THE TAXXIWAY WHEN REPLACEMENT WHEELS WERE OBTAINED. PATCHY ICE AND SNOW WE	RE REPORTED ON RUNWAYS AND TAXXIWAYS. CAUSE HAS YET TO BE DETERMINED.       TWO TIRES,P/N 178K43-1   #1 S/N 20820762,  #	2 S/N 20960763					2 	4F			RT	A10CE   					 
	20230213		GL  	2023	2	13	2023F00047       	1	20230207	G	2820	NOTREPORTED	NOT REPORTED    			CIRRUS	SF50  	SF50        	0563277	GL  	WILINT	FJ33  	FJ335A      	66015	NE  					NOT REPORTED	NOT REPORTED    	E				A				UNSCHED LANDING         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	99	14VJ 					0218	361127			BOTH FUEL VALVES FAILED.									1 	4F	4	F	RT	A00018CH	E3GL				 
	20230214		CE  	2023	2	14	2023F00048       	1	20230117	G	3244	0335040	TIRE            	MEGGITT     		RAYTHN	DH125 	HAWKER800XP 	7150012	CE  										ZONE 700	DAMAGED         	E				O				OTHER                   				O			OTHER                     			LD	LANDING        	1			NM	03	800TL	253  	253  		2173P05105	250394				UPON LANDING AT BURLINGTON, WA (KBVS) THE #1 AND #2 TIRES SCUFFED BEYOND SERVICEABILITY., THE #1 AND #2 TIRES AND WHEELS	 WERE REPLACED AND THE AIRPLANE WAS RETURNED TO SERVICE.                                                                	                                                                                                                        	                                               BOTH TIRES  REPLACED. #1 S/N 2173P05105, #2 TIRE S/N 2259P05094						2 	4F			RT	A3EU    					 
	20230214		NM  	2023	2	14	2023F00049       	1	20230206	G	2700		UNKNOWN         			BOEING	767   	7673S1      	1385211	NM  											UNKNOWN         	H				A				UNSCHED LANDING         				J			WARNING INDICATION        			CL	CLIMB          	1			SW	99						26608				AFTER TAKEOFF LE FALPS ASYM TRAILING EDGE FLAPS BETWEEN UP AND 1?. CORRECTIVE ACTION: PERFORMED FIM 27-81 FAULT TREE 809	 STEP 1,2,3,4,5,11 AND WAS CLEANED CONNECTORS OUTER PDU SLAT IAW AMM 20-60-06 BITE FSEU OK.								2 	4F			RT	A1NM    					 
	20230214		NM  	2023	2	14	2023F00050       	1	20230210	G	3246	315731	WHEEL           			DHAV  	DHC8  	DHC8*       		NM  	PWC   	150   	PW150A      		EA  	DOWTY	R4086	R4086123F17 	EU  	ZONE 700	DEGRADED        	H				K				NONE                    				P			NO WARNING INDICATION     			TX	TAXI/GRND HDL  	1			SW	99	881WM					4216				NUMBER 1 MAIN WHEEL ASSY. OBSERVED WOBBLING DURING TAXI AFTER LANDING. FOUND OUTER BEARING HAD DISINTEGRATED.									2 	4T	4	T	RT	A13NM   	E00062EN	6	C	P17BO	 
	20230214		SO  	2023	2	14	2023F00051       	1	20230210	G	2910	1159HL5009715DC1	HYDRAULIC LINE  	GULSTM      	NA          	GULSTM	GVSP  	GVSPG550    	3980203	SO  	RROYCE	BR700 	BR700710C411	54005	NE  					ZONE 600	LEAKING         	E				A				UNSCHED LANDING         				K	J		FLUID LOSS                	WARNING INDICATION        		CR	CRUISE         	1			SW	99	588TN	6689 	500  		NSN	5109	115321	215318		THE CREW RECEIVED A HYDRAULIC CAS MESSAGE WHILE IN FLIGHT. AIRCRAFT DIVERTED TO THE NEAREST AIRPORT. INSPECTION BY MAINT	ENANCE REVEALED A HYDRAULIC LINE.TO HAVE SEPARATED AT PERMASWAGED AREA ON T-FITTING ABOVE FWD RH SIDE OF MLG TORQUE BOX.								2 	4F	4	F	RT	A12EA   	E00057EN				 
	20230215			2023	2	15	2023F00053       	4	20230110	G	2200	9241004830110	SERVO           			SKRSKY	S92   	S92A        		NE  										COLLECTIVE	INOPERATIVE     	E				D				RETURN TO BLOCK         				J			WARNING INDICATION        			CR	CRUISE         	1			SW	03	940PH					920206				APPROX 15 MINUTES INTO FLIGHT, AFCS DEGRADE CAUTION LIGHT ILLUMINATED WITH ASSOCIATED FAULT CODE AFCS COLL TRIM 008. COL	LECTIVE TRIM "BEEP SWITCH" WOULD NOT MOVE COLLECTIVE LEVER UP OR DOWN. ASSOCIATED EMERGENCY PROCEDURE PERFORMED AND AFCS	 DEGRADE CAUTION LIGHT WOULD NOT EXTINGUISH. RTB.							2 	4U				R00024BO					 
	20230216			2023	2	16	2023F00055       	2	20230211	G	7200		UNKNOWN         			BOEING	737   	7378        	13844FZ	NM  											UNKNOWN         	H				O				OTHER                   				O			OTHER                     			CR	CRUISE         	1			SW	99						30661				OIL QTY ZERO AND OSCILATION IN OIL PRESS AND TEMP. ENGINE #2.  AFTER BOROSCOPE INSPECTION FOUND OIL LEAK IN TURBINE STAG	E 3								2 	4F			RT	A16WE   					 
	20230216		CE  	2023	2	16	2023F00056       	1	20230214	G	2120	33E832	BLOWER          			CESSNA	208   	208B        	2073701	CE  	PWC   	PT6   	PT6A140     	51499	NM  					ZONE 500	SHORTED         	E				H				DEACTIVATE SYST/CIRCUITS				B			SMOKE/FUMES/ODORS/SPARKS  			TX	TAXI/GRND HDL  	1			SW	99	958SP					208B5132	PCEVA0177			VENTILATION FAN INOPERATIVE WITH A LIGHT ELECTRICAL BURNING SMELL COMING FROM THE VENTS WHEN TURNED SWITCH IN THE ON POS	ITION. SMELL DISSIPATED WHEN SWITCHED OFF								1 	3T	4	T		A37CE   	E4EA				 
	20230217		NM  	2023	2	17	2023F00057       	1	20230215	G	3350	34002210	POWER SUPPLY    			EMB   	ERJ190	ERJ190200STD	NIR    	NM  											DISCHARGED      	A				K				NONE                    				J			WARNING INDICATION        			IN	INSP/MAINT     	1			SW	99	140BZ					19000244				DURING SCHEDULED MAINTENANCE, WHLE PERFORMING THE OPERATIONAL CHECK OF THE PASSENGER CABIN LIGHTSYSTEM. FOUND THE FWD 	PASSENGER CABIN EMERGENCY LIGHT INOP								2 	4F			RT	A57NM   					 
	20230221		CE  	2023	2	21	2023F00058       	1	20230214	G	2130		NONE            			CESSNA	750   	750         	2076810	CE  											NONE            	E				A				UNSCHED LANDING         				J	O		WARNING INDICATION        	OTHER                     		CL	CLIMB          	1			WP	25	772XJ					7500272				SHORTLY AFTER TAKEOFF, FLIGHT CREW RECEIVED AN AMBER ?CABIN ALTITUDE? CAS MESSAGE. CREW DESCENDED TO 10000MSL, RAN THE A	PPROPRIATE CHECKLIST AND DIAGNOSED THE PROBLEM. THEY WERE ABLE TO CLEAR THE CAS MESSAGE AND HAD CONTROL OF THE PRESSURIZ	ATION IN MANUAL MODE. CREW REQUESTED TO CLIMB TO 15000MSL TO SEE IF THE PROBLEM PERSISTED, AND AT 13000MSL THEY RECEIVED	 A SECOND AMBER ?CABIN ALTITUDE? CAS MESSAGE. CREW DECLARED AN EMERGENCY WITH ATC AND RETURNED TO MSP, WHERE THEY LANDED	 WITHOUT INCIDENT. MAINTENANCE PERFORMED NUMEROUS PRESSURIZATION FUNCTIONAL CHECKS, WITH NO DEFECTS NOTED. DURING TROUBL	ESHOOTING THEY RECEIVED A ?CABIN VENT DOOR? CAS MESSAGE AND FOUND THE CABIN VENT DOOR PROXIMITY SWITCH OUT OF RIG. PROX 				2 	4J			RT	T00007WI					 
	20230221		SW  	2023	2	21	2023F00059       	1	20230218	G	6300	407040006127	TRANSMISSION    			BELL  	407   	407         	1182206	SW  											CHIPPED         	E				D	B			RETURN TO BLOCK         	EMER. DESCENT           			J			WARNING INDICATION        			CR	CRUISE         	1			SW	03	418PH	2654 	2654 			53640				DURING CRUISE, TRANSMISSION CHIP LIGHT ILLUMINATED. AT APPROXIMATELY 1310 IN CRUISE FLIGHT AT 1250FT ENROUTE TO EI11H, T	HE TRANSMISSION CHIP LIGHT ILLUMINATED. THE STUDENT FLYING RELINQUISHED THE CONTROLS TO ME. I MADE A MAYDAY CALL AND DEC	LARED AN EMERGENCY TO THE COMM CENTER, AND INFORMED THEM OF THE SITUATION. I IMMEDIATELY DIVERTED TO THE NEAREST AIRPORT	, THAT BEING KPTN AND MADE A SUCCESSFUL PRECAUTIONARY LANDING WITH NO INJURIES OR DAMAGE TO THE AIRCRAFT.						1 	3U			O	H2SW    					 
	20230222		SO  	2023	2	22	2023F00060       	1	20230221	G	2131		NONE            			EMB   	145   	EMB145LR    	3260212	SO  											NONE            	A				K				NONE                    				S			AFFECT SYSTEMS            			TX	TAXI/GRND HDL  	1			SW	99	685AE					14500836				UNABLE TO PRESSURIZE A/C IN IETHER AUTOMATIC OR MANUAL MODE WITH LIGHT VISIBLE AROUND MAIN PAX DOOR									2 	4T			RT	T00011AT					 
	20230222			2023	2	22	2023F00061       	4	20230221	G	3400	99145072	AOA             			CESSNA	750   	750         	2076810	CE  											NONE            	E				A				UNSCHED LANDING         				O			OTHER                     			TO	TAKEOFF        	1			EA	05	992MG					7500073				AFTER TAKEOFF RIGHT HAND PFD STALL WARNING WAS ACTUATED CAUSING STICK SHAKER TO COME ON ALL THE TIME. CORRECTIVE ACTION:	 TROUBLESHOT SYSTEM. FOUND RIGHT HAND AOA PROBE AT FAULT. REMOVED AND REPLACED RH AOA PROBE AS PER AIRCRAFT MAINTENANCE 	MANUAL. GROUND OPS CHECKS OK AT THIS TIME.							2 	4J			RT	T00007WI					 
	20230222		NM  	2023	2	22	2023F00062       	1	20230127	G	2150	22064002	A/C PACK        			BOEING	737   	7378        	13844FZ	NM  											OSCILLATES      	G				K				NONE                    				Z			SIGNIFICANT FAILURE REPORT			IN	INSP/MAINT     	1			SW	99	XAAMB					36703				DUE PRESURIZATIONOSCLLATION +/- 1000 FTS AND HIGH ALTITUD ALERT,    1. -PACK OPERATION CONFIDENCE CHECK WAS PERFORMED I.	A.W.A.M.M TASK21-00-05-780-801 TEST CORRECT.-  2.- CHECK WIRING FOR CONTINUITY AND ISOLATION IAW WDM 21-51-12 ALL CORREC	T.-     3.- TCV WAS REPLACE IA. W AMM 21-51-10-000-801/400-801 TEST CORRECT     4.- AIR CYCLE MACHINE TORQUE CHECK IAW A	MM 21-51-0-700-804-5 LB/IN     5.- ACM WAS REPLACED IAW AMM 21-51-04-00-802-002/400-002 TEST CORRECT						2 	4F			RT	A16WE   					 
	20230223			2023	2	23	2023F00063       	2	20230221	G	7200		NONE            			AMD   	FALCON	FALCON20    	2730103	EU  											NONE            	E				O				OTHER                   				X			ENGINE FLAMEOUT           			CR	CRUISE         	1			SW	05	148TW					148				AIRCRAFT DEPARTED KGKY FOR KELP, WHILE IN CRUISE THE CREW EXPERIENCED ICING CONDITIONS AT FL280 AND WHEN SELECTING THE A	IRFRAME AND ENGINE ANTI-ICE SYSTEMS ON THE LH ENGINE HAD A FLAMEOUT DUE TO THE HIGH DEMAND PUT ON THE BLEED AIR SYSTEM. 	CREW NOTIFIED ATC THEN STARTED A DESCENT TO FL240 WHERE A SUCCESSFUL AIR START WAS PERFORMED FLIGHT CONTINUED TO  ORIGIN	AL DESTINATION OF KELP. EL PASO AERO INSPECTED BOTH ENGINES FOR COMPRESSOR/FAN FOD AND NONE WAS FOUND SO A GROUND PERFOR	MANCE RUN WAS COMPLETED ON BOTH ENGINES WITH ALL OPS NORMAL. AIRCRAFT WAS RETURNED TO SERVICE.					2 	4F			RT	A7EU    					 
	20230223		NM  	2023	2	23	2023F00065       	1	20230216	G	2913	66087	PUMP            			BOEING	737   	73737Q      		NM  										ZONE 400	FAILED          	H				O				OTHER                   				S			AFFECT SYSTEMS            			CL	CLIMB          	1			SW	99						28548				QRF TO SLCB. AFTER TAKOFF HIDRAULIC ENGINE DRIVEN PUMP LOW PRESSURE ILLUMINATED. CORRECTIVE ACTION: REMOVED AND REPLACED	 HY SYSTEM "A" IAWAMM29-15-12. REPLACED EDP CASE DRAIN FILTER ELEMENT IAW AMM 29-15-91.								2 	4F			RT	A16WE   					 
	20230223			2023	2	23	2023F00066       	1	20230223	G	2720	746156462	ARM             			CESSNA														ZONE 100	GOUGED          	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			CE	07	830QS					7000073				COPILOTS RUDDER PEDAL ADJUSTMENT ARM GOUGED. ACCOMPLISHED TEXTRON AVIATION ENGINEERING LETTER DQ38345M1 DATED FEBRUARY 2	2, 2023; 700-0073 COPILOTS RUDDER PEDAL ADJUSTMENT ARM GOUGE.																		 
	20230223		NM  	2023	2	23	2023F00067       	1	20230221	G	2923	50005777	PUMP            			BOEING	737   	73737Q      		NM  										ZONE 100	INOPERATIVE     	H				O				OTHER                   				S			AFFECT SYSTEMS            			DE	DESCENT        	1			SW	99						28548				HYDRAULIC SYSTEM "A" PUMP (ELECTRICAL N?2) WITH LOW PRESSURE. CORRECTIVE ACTION: HAS BEEN CHANGED PUMP. IN TEST NO FOUND	 DISCREPANCIES.								2 	4F			RT	A16WE   					 
