 columnname                     columntype    length description                                                                                                                                                                                                                                                     
 c602                           Char               1 Aircraft weight class code                                                                                                                                                                                                                                      
 c604                           Char               1 Aircraft wing type code                                                                                                                                                                                                                                         
 c606                           Char               1 Aircraft power class code                                                                                                                                                                                                                                       
 c608                           VarChar            2 Number of engines                                                                                                                                                                                                                                               
 c610                           Char               2 Design characteristic code for typical engine f9or aircraft model                                                                                                                                                                                               
 c612                           Char               1 Engine power class code                                                                                                                                                                                                                                         
 c614                           Char               1 Engine type code                                                                                                                                                                                                                                                
 c616                           Char               2 Landing gear code                                                                                                                                                                                                                                               
 c620                           Char               8 FAA type certificate control number for aircraft                                                                                                                                                                                                                
 c640                           Char               8 FAA tyoe certificate control number for engine                                                                                                                                                                                                                  
 c652                           Char               1 Propeller power code                                                                                                                                                                                                                                            
 c654                           Char               1 Propeller type code                                                                                                                                                                                                                                             
 c660                           Char               8 FAA type certificate control number for propeller                                                                                                                                                                                                               
 eof                            VarChar            1 NULL                                                                                                                                                                                                                                                            

